cases.0.samples.0.sample_type,cases.0.samples.1.sample_type,cases.0.submitter_id,file_id,file_name,id
Blood Derived Normal,Primary Tumor,TCGA-D8-A1X8,f3ed938e-d023-491e-a01c-47b13e92d83c,2c7b3985-7d71-452a-9b8f-be1910aef6e2.wxs.muse.raw_somatic_mutation.vcf.gz,f3ed938e-d023-491e-a01c-47b13e92d83c
Blood Derived Normal,Primary Tumor,TCGA-D8-A1X8,40a99898-65dc-45d4-8d4e-bf5d8b20b6be,3e67476d-ef4b-415c-b688-cfe6038bf27c.wxs.MuSE.aliquot.maf.gz,40a99898-65dc-45d4-8d4e-bf5d8b20b6be
Primary Tumor,Blood Derived Normal,TCGA-AR-A24U,d89e9f6c-6721-4a11-bad9-6777a6eeeb21,e17f098e-9cb6-4706-8156-09a43b8cd953.wxs.aliquot_ensemble_masked.maf.gz,d89e9f6c-6721-4a11-bad9-6777a6eeeb21
Primary Tumor,Blood Derived Normal,TCGA-AQ-A04J,72391555-a25f-4d6f-9e0f-907ac805ba51,cb1fbaa3-b183-4730-816b-4e2aec1fc5ec.wxs.Pindel.aliquot.maf.gz,72391555-a25f-4d6f-9e0f-907ac805ba51
Primary Tumor,Blood Derived Normal,TCGA-D8-A73X,2f8ffd9e-b7db-4a20-81a9-39d46ae68d8a,e05e1cea-78fb-4f08-b47e-7fcec3ca83f2.wgs.ASCAT.gene_level.copy_number_variation.tsv,2f8ffd9e-b7db-4a20-81a9-39d46ae68d8a
Blood Derived Normal,Primary Tumor,TCGA-D8-A1X8,5cc6aba4-4b12-4d78-98da-c2122cd3edff,TCGA_BRCA.4306e90b-e529-4652-ba48-e82510dc12ed.wxs.MuSE.somatic_annotation.vcf.gz,5cc6aba4-4b12-4d78-98da-c2122cd3edff
Primary Tumor,Blood Derived Normal,TCGA-AQ-A04J,2b59b449-e2c8-4b63-9f69-fcd7716292c8,b37abe51-b52c-4054-ac3b-76d00e62cd1c.wxs.aliquot_ensemble_masked.maf.gz,2b59b449-e2c8-4b63-9f69-fcd7716292c8
Primary Tumor,Blood Derived Normal,TCGA-D8-A73X,2e3c1046-274b-4511-a337-c9b7ed9872db,TCGA-BRCA.e831ad69-0f96-4d82-a435-6b754e44122f.gene_level_copy_number.v36.tsv,2e3c1046-274b-4511-a337-c9b7ed9872db
Primary Tumor,Blood Derived Normal,TCGA-E2-A14P,4b6479ec-f045-4bcd-b61c-700e67785acf,TCGA_BRCA.55f54a8f-4582-473b-9446-c621bc696663.wxs.Pindel.somatic_annotation.vcf.gz,4b6479ec-f045-4bcd-b61c-700e67785acf
Primary Tumor,Blood Derived Normal,TCGA-E2-A14P,d2936840-5eee-4f70-beb1-c4e67b16bcdb,420e20ff-4c97-4e66-bd9e-8d745906b1bd.wxs.MuSE.aliquot.maf.gz,d2936840-5eee-4f70-beb1-c4e67b16bcdb
Blood Derived Normal,Primary Tumor,TCGA-AO-A0JA,424a7c72-cd65-427c-a5ed-df8135eb8ceb,1f90dd82-64bf-4caa-8bdf-b65a90a024df.wxs.MuTect2.aliquot.maf.gz,424a7c72-cd65-427c-a5ed-df8135eb8ceb
Primary Tumor,Blood Derived Normal,TCGA-E9-A1N9,8901c972-ffe0-49b1-be54-9b991223594f,TCGA_BRCA.2077cc6a-c36a-465b-9422-a2296ddbf27b.wxs.MuSE.somatic_annotation.vcf.gz,8901c972-ffe0-49b1-be54-9b991223594f
Primary Tumor,Blood Derived Normal,TCGA-E9-A1N9,ca68e8a1-329e-4a20-af43-19a64fab17d9,TCGA-BRCA.5ae97b02-7893-4ef8-83aa-585b87983f37.ascat3.gene_level_copy_number.v36.tsv,ca68e8a1-329e-4a20-af43-19a64fab17d9
Primary Tumor,Blood Derived Normal,TCGA-E2-A14P,94337200-7df9-470b-8030-af47b1f37ca5,063bf8e3-5656-4dcd-a2dc-49b4864c57c9.wxs.varscan2.raw_somatic_mutation.vcf.gz,94337200-7df9-470b-8030-af47b1f37ca5
Blood Derived Normal,Primary Tumor,TCGA-AO-A0JA,f3bb7fe4-87bb-4ec0-883e-8fc149b6e439,TCGA-BRCA.25822371-680d-4663-98ef-ebf79e6dff4d.ascat3.allelic_specific.seg.txt,f3bb7fe4-87bb-4ec0-883e-8fc149b6e439
Primary Tumor,Blood Derived Normal,TCGA-E2-A14P,a00dc202-205a-4523-8ede-39404e5f82d8,TCGA_BRCA.161a2bd2-beed-48bb-9f0b-6271761a1c96.wxs.VarScan2.somatic_annotation.vcf.gz,a00dc202-205a-4523-8ede-39404e5f82d8
Blood Derived Normal,Primary Tumor,TCGA-AO-A0JA,2fff5fb6-ccc4-4906-880e-d9945bdbbdc8,TCGA_BRCA.92321013-cc43-4632-a9fd-814eb81fefb2.wxs.MuTect2.somatic_annotation.vcf.gz,2fff5fb6-ccc4-4906-880e-d9945bdbbdc8
Primary Tumor,Blood Derived Normal,TCGA-AR-A24U,0bfd1c00-d629-491d-b5b3-07cf276523b4,e17f098e-9cb6-4706-8156-09a43b8cd953.wxs.aliquot_ensemble_raw.maf.gz,0bfd1c00-d629-491d-b5b3-07cf276523b4
Blood Derived Normal,Primary Tumor,TCGA-AO-A0JA,6971e5d4-0f93-4d56-b3e7-d8eb4b2171b3,TCGA-BRCA.25822371-680d-4663-98ef-ebf79e6dff4d.ascat2.allelic_specific.seg.txt,6971e5d4-0f93-4d56-b3e7-d8eb4b2171b3
